Year,Year_num,Site_Code,Orchard_Block,Alleyway_treatment,Distance,Section,Total,Richness,Shannon,Honeybee,Buff_tailed_bumblebee,Bumblebee,Solitary_bee,Hoverfly,Blossoms,Fruit_set,Percentage_Fruit_set,Fresh_mass,Height,Width,Length,Firmness,Dry_Matter
Year_1,2017,Site_3,Orchard_Block_6,SWS,28.5,Section 19-38,0.764705882,0.450980392,0.052143582,0.666666667,0,0.058823529,0.039215686,0,,8.5,,11.76352941,29.05294118,29.14705882,25.98823529,62.05882353,1.567058824
Year_1,2017,Site_3,Orchard_Block_6,SWS,47.5,Section 38-57,0.676470588,0.411764706,0.055646956,0.588235294,0,0.029411765,0.058823529,0,,10,,11.264,28.56,28.05,25.19,59,1.657
Year_1,2017,Site_4,Orchard_Block_7,AMWS,9.5,Section 0-19,0.560606061,0.393939394,0.048547149,0.348484848,0.075757576,0.03030303,0,0.106060606,,10,,14.56,30.12,31.45,27.09,55.2,2.064
Year_1,2017,Site_4,Orchard_Block_7,AMWS,28.5,Section 19-38,0.393939394,0.287878788,0.030648614,0.106060606,0.121212121,0.045454545,0,0.121212121,,9,,13.25,29.82777778,30.72222222,27.07777778,63.66666667,1.508333333
Year_1,2017,Site_4,Orchard_Block_7,AMWS,47.5,Section 38-57,0.318181818,0.272727273,0.015753345,0.090909091,0.022727273,0.045454545,0,0.159090909,,9,,14.50888889,30.31111111,31.36666667,26.87777778,62.44444444,2.095555556
Year_1,2017,Site_4,Orchard_Block_7,CS,9.5,Section 0-19,0.515151515,0.393939394,0.061297228,0.333333333,0.106060606,0.015151515,0,0.060606061,,9.5,,13.45526316,28.78421053,30.65263158,26.27368421,64,1.933684211
Year_1,2017,Site_4,Orchard_Block_7,CS,28.5,Section 19-38,0.287878788,0.227272727,0.01050223,0.196969697,0.075757576,0,0,0.015151515,,8.5,,13.72647059,29.40588235,30.71176471,26.49411765,69.52941176,1.994117647
Year_1,2017,Site_4,Orchard_Block_7,CS,47.5,Section 38-57,0.181818182,0.166666667,0.01050223,0.045454545,0.090909091,0,0,0.045454545,,10,,13.579,29.195,30.27,26.31,69,2.316
Year_1,2017,Site_4,Orchard_Block_7,CS,66.5,Section 57-76,0.393939394,0.378787879,0.04200892,0.090909091,0.227272727,0.045454545,0,0.03030303,,9,,13.51388889,28.98888889,30.71666667,26.17222222,67.88888889,1.941666667
Year_1,2017,Site_4,Orchard_Block_7,SWS,9.5,Section 0-19,0.136363636,0.136363636,0,0.045454545,0.045454545,0.015151515,0,0.03030303,,9.5,,15.07842105,30.96315789,31.38421053,27.33684211,65.10526316,2.349473684
Year_1,2017,Site_4,Orchard_Block_7,SWS,28.5,Section 19-38,0.227272727,0.227272727,0.01050223,0.075757576,0.045454545,0.015151515,0,0.090909091,,10,,15.26,31.2,31.65,27.645,67.4,2.285
Year_1,2017,Site_4,Orchard_Block_7,SWS,47.5,Section 38-57,0.136363636,0.136363636,0,0.015151515,0.03030303,0.015151515,0,0.075757576,,10,,13.3435,29.805,30.35,25.935,65.45,1.7405
Year_1,2017,Site_4,Orchard_Block_7,SWS,66.5,Section 57-76,0.212121212,0.212121212,0.01050223,0.03030303,0.075757576,0.045454545,0,0.060606061,,8,,14.9725,31.13125,31.6,27.5125,69.3125,2.268125
Year_1,2017,Site_4,Orchard_Block_8,AMWS,9.5,Section 0-19,0.181818182,0.166666667,0,0.015151515,0.121212121,0.03030303,0,0.015151515,,9,,14.00611111,29.87777778,31.06666667,26.72222222,67.66666667,1.641111111
Year_1,2017,Site_4,Orchard_Block_8,AMWS,28.5,Section 19-38,0.151515152,0.151515152,0,0,0.090909091,0.03030303,0,0.03030303,,9,,12.02833333,28.1,28.78888889,24.90555556,69.72222222,1.546111111
Year_1,2017,Site_4,Orchard_Block_8,AMWS,47.5,Section 38-57,0.166666667,0.136363636,0.01050223,0,0.121212121,0.015151515,0,0.03030303,,9.5,,12.55947368,29.29473684,29.87368421,26.11578947,68.21052632,1.283157895
Year_1,2017,Site_4,Orchard_Block_8,AMWS,66.5,Section 57-76,0.121212121,0.121212121,0,0,0.075757576,0.015151515,0.015151515,0.015151515,,8.5,,12.90176471,29.21176471,29.9,26.16470588,66.52941176,1.400588235
Year_1,2017,Site_4,Orchard_Block_8,CS,9.5,Section 0-19,0.318181818,0.257575758,0.02100446,0,0.166666667,0.03030303,0,0.121212121,,10,,13.3605,29.965,30.42,26.835,62.95,1.542
Year_1,2017,Site_4,Orchard_Block_8,CS,28.5,Section 19-38,0.181818182,0.166666667,0.01050223,0,0.121212121,0,0,0.060606061,,10,,11.781,29.265,29.56,26.36,74.9,1.14
Year_1,2017,Site_4,Orchard_Block_8,CS,47.5,Section 38-57,0.136363636,0.136363636,0,0,0.045454545,0.015151515,0,0.075757576,,8,,13.480625,30.01875,30.83125,26.8375,72.6875,1.421875
Year_1,2017,Site_4,Orchard_Block_8,CS,66.5,Section 57-76,0.121212121,0.121212121,0.01050223,0,0.045454545,0,0,0.075757576,,10,,13.7735,29.935,30.685,26.56,77.1,1.78
Year_1,2017,Site_4,Orchard_Block_8,SWS,9.5,Section 0-19,0.303030303,0.287878788,0.048152331,0.015151515,0.196969697,0.03030303,0,0.060606061,,9.5,,14.84947368,30.91578947,31.80526316,27.57894737,62.78947368,1.787368421
Year_1,2017,Site_4,Orchard_Block_8,SWS,28.5,Section 19-38,0.166666667,0.136363636,0.01050223,0,0.060606061,0.060606061,0,0.045454545,,9,,13.37055556,30.26111111,30.62222222,26.97777778,67.38888889,1.74
Year_1,2017,Site_4,Orchard_Block_8,SWS,47.5,Section 38-57,0.090909091,0.090909091,0,0,0.075757576,0,0,0.015151515,,9.5,,13.93368421,30.01578947,30.57894737,26.71578947,70.36842105,1.867368421
Year_1,2017,Site_4,Orchard_Block_8,SWS,66.5,Section 57-76,0.136363636,0.136363636,0,0,0.075757576,0.015151515,0,0.045454545,,9.5,,12.48473684,28.9,29.40526316,25.52105263,68.47368421,1.726842105
Year_1,2017,Site_5,Orchard_Block_10,AMWS,9.5,Section 0-19,1.458333333,0.708333333,0.14470942,1.027777778,0.319444444,0.055555556,0.013888889,0.041666667,,9,,9.282222222,27.10555556,26.72777778,23.94444444,65,1.226666667
